"A acocote nuevo, tlachiquero viejo."
"A amistades que son ciertas, siempre las puertas abiertas."
"A animal que no conozcas, no le tientes las orejas."
"A barbas de indio, navaja de criollo."
"A barriga llena, le faltó la pólvora."
"A batalla de amor, campo de plumas."
"A beber me atrevo, porque a nadie debo y lo mío bebo."
"A beber vino, nunca me venció mujer."
"A bien comer o mal comer, tres veces beber."
"A boca de borracho, oídos de cantinero."
"A boca de jarro, sólo la china y el charro."
"A buen bocado, buen grito."
"A buen comer o mal comer, tres veces beber; la primera pura, la..."
"segunda como Dios la crío en la uva, la tercera como sale de la cuba."
"A buen entendedor, pocas palabras."
"A buen hambre, gordas duras."
"A buen hambre, no hay pan duro. (..., no hay pan malo)"
"A buen juez, mejor testigo."
"A buen sueño, no hay mala cama."
"A buen tragón, buen taco."
"A burro viejo, aparejo nuevo."
"A caballo ajeno, espuelas propias."
"A caballo ajeno, primero la silla y luego el freno."
A caballo andan los hombres.
"A caballo corredor, cabestro corto."
"A caballo duro, bozal de seda."
"A caballo nuevo, caballero viejo."
"A caballo regalado, no se le ve el colmillo."
A cada capillita le llega su fiestecita.
A cada chango le llega su cacahuate.
A cada pajarito parécele bien su nidito.
A cada pájaro le gusta su nido.
A cada puerco le llega su San Martín.
A cada quién darle por su juego y nunca ir contra la corriente.
A cada quién le da Dios lo que Él cree que le conviene.
A cada quien lo suyo.
A cada santo le llega su función.
A cada uno su gusto lo engorda.
"A cama corta, encoger las piernas."
"A camino largo, paso corto."
"A casa de tu tía, mas no todo el día."
"A cazador nuevo, perro viejo."
"A cena de vino, desayuno de agua."
"A chillidos de marrano, oídos de carnicero."
"A chillidos de marrano, oídos de chicharronero."
"A chillidos de puerco, oídos de matancero."
"A comer y a misa rezada, a la primera llamada."
"A comer y a misa, una vez se avisa."
"A comida de olido, pago de sonido."
"A confesión de culpa, relevo de pruebas."
A cualquier hora el perro mea y la mujer llora.
"A dineros pagados, brazos quebrados."
A Dios las deudas y al alcalde las jaranas.
"A Dios le pido trabajo, rogándole no encontrar."
A Dios rogando y con el mazo dando. (...y con el palo dando.)
"A dos garrochas, no hay toro valiente."
"A enemigo que huye, puente de plata."
"A ese culantro tan seco, le falta su regadita."
"A falta de pan, buenas son semitas."
"A falta de pan, migajas."
"A falta de pan, tortillas."
A fuerza ni la comida es buena.
"A fuerza, ni los zapatos entran."
A gato satisfecho no le preocupa ratón.
"A gato viejo, ratón tierno."
"A gran caballo, grandes espuelas."
"A gran salto, gran quebranto."
"A grandes males, grandes remedios."
"A grandote con cuchillo, chaparro con escopeta."
A huevo sabe el rompope y a huevo sabe el pan fino.
A la bruja nadie se le arrima. (Al brujo...)
A la carrera larga el tiro coge al venado.
A la cuesta abajo las calabazas ruedan.
"A la doncella honrada, en casa y pierna quebrada."
"A la fea, el caudal la hermosea. (el dinero...)"
A la fortuna sólo una vez se le ven las orejas. (A la suerte nomás...)
"A la gorra, ni quien le corra."
"A la hora de freír frijoles, manteca es lo que hace falta."
A la hora mala no ladran los canes.
"A la luz de la tea, ni la más fea, es fea."
"A la madera que ha de servir para cruz, no le entra ni la polilla."
"A la madera se le busca el hilo, a los tarugos el lado."
A la mejor cocinera se le queman los frijoles.
A la mejor cocinera se le va una papa entera.
"A la moda, aunque espante."
"A la mujer, el diablo le dio el saber."
"A la mujer, ni todo el amor, ni todo el dinero, ni toda la verdad."
"A la mujer y al ladrón, quitarles la ocasión."
"A la mula vieja, cabezadas nuevas."
"A la mula y a la mujer, a palos se ha de vencer."
A la ocasión la pintan calva.
A la par es negar y tarde dar.
A la prudencia le llaman pendejada.
"A la puta y al peluquero, nadie los quiere viejos."
"A la que a su marido encornuda, Señor y tú la ayuda."
"A la que te de jalón, directo pa'l colchón."
"A la ramera y a la ballena, todo les cabe y nada les llena."
"A la raza, como a la calabaza, por la raíz."
"A la res, al cuero, y al caballo, al pelo."
"A la sierra, aunque sea burro."
A la tercera es la vencida. (A las tres es ...)
"A la tía, se apalea; a la prima se le arrima; a la hermana con más ganas."
"A la tierra que fueres, haz lo que vieres."
A la vecinita dale en la tacita rota.
"A las diez en tu cama estés, si puedes antes mejor que después."
A las doce del día no hay mujer honrada ni soldado arrepentido.
"A las mujeres bonitas y a los buenos caballos,..."
...los echan a perder los tarugos.
"A las mujeres y a los charcos, hay que entrarles por en medio."
"A las mujeres y a los charcos, no hay que andarles con rodeos."
"A las palabras se las lleva el viento, lo escrito queda."
A las putas y ladrones no les faltan devociones.
"A libro malo, encuadernación buena."
"A lo bobo, a lo bobo, en todo me meto y de todo me como."
"A lo dado, hasta los obispos trotan."
"A lo dado, no se le busca el lado."
"A lo hecho, pecho."
"A lo hecho, pecho, y a lo no hecho, pedir consejo."
"A lo que está de moda, la gente se acomoda."
"A lo tuyo, tú: otro como tú, ninguno."
"A los amigos los escojo yo, a los parientes no."
A los bobos se les aparece la madre de Dios.
A los mayores de edad con un palo se les da.
A los tontos y a los loros hay que darles la verdad.
A los vivos pan y a los muertos paz.
"A más moros, más ganancia."
"A más no haber, acostarse con su mujer."
"A medida que el amor adquiere confianza, el respeto retrocede."
"A mengua de carne, buenos son pollos con tocino."
"A mengua de pan, buenas son tortas."
"A mi me han dicho que he dicho un dicho que he dicho yo,"
"yo no he dicho ningún dicho, pues si hubiera dicho un dicho,"
estaría muy bien dicho por haberlo dicho yo.
"A moro muerto, gran lanzada."
"A muele y muele, ni metate queda."
A muertos y a idos no hay amigos.
A nadie le amarga un dulce aunque tenga otro en la boca.
A nadie le falta Dios cargando su bastimento.
A niño ahogado quieren tapar el pozo.
"A nuevos hechos, nuevos consejos."
"A ojo de buen cubero, termina borracho el mesero."
A olla que hierve ninguna mosca se atreve.
"A padre guardador, hijo gastador."
"A palabras de borracho, oídos de cantinero."
"A palabras locas, orejas sordas."
"A palabras necias, oídos sordos."
"A palabras vanas, ruido de campanas."
"A pan de quince días, hambre de tres semanas."
"A pan duro, diente agudo."
A perro viejo no hay tus tus.
"A perro, perico y poblano, nunca le extiendas la mano."
"A poca barba, poca vergüenza."
¿A poco cree que los economistas les entendemos a los abogados?.
"A poco no, somos usufructuarios por derecho pero no dueños de nada."
"A poco pan, tomar primero."
"A punta de ""Madrazos"" se quebraron las ""Paredes"" (P.R.I. 2002)"
"A quien amasa, una le pilla y ciento le pasa."
A quien dan en que escoger le dan en que entender.
"A quien dan, no escoge."
"A quien Dios le ha de dar, por la tronera le ha de entrar."
A quien Dios no le dio hijos el diablo le dio sobrinos.
"A quien Dios quiere para sí, poco tiempo lo tiene aquí."
"A quien Dios se la dio, San Pedro se la bendiga."
"A quien le da la mano Manuela, lo agradece aunque le duela."
"A quién le dan pan, que llore."
"A quien lo quiera celeste, que le cueste."
A quien mala fama tiene no acompañes ni quieras bien.
"A quien nace afortunado, le ponen huevos los gallos;"
"y a quien nace p'a la ruina, ni la gallina."
"A quien no le sobre pan, no críe can."
A quien se come las vigas se le atoran los popotes.
"A quien se fía de ti, no lo engañes."
A quien te hable de pulquería... recuerdos a la familia.
"A quien tiene buenos dineros, le huelen bien hasta los pedos."
A rico no debas y a pobre no prometas.
"A río revuelto, ganancia de pescadores."
A rocín viejo las cabezadas nuevas.
"A santo chico, velitas."
A su tiempo maduran las brevas.
A tanto porfiar no hay quien resista.
"A ti te lo digo m'hija, entiéndelo tú mi nuera."
"A tí te lo digo Pedro, entiéndelo tú Francisco."
"A todo le está el tomate, menos al chocolate."
"A todo le llaman cena, aunque sea un taco de sal."
"A todo se acostumbra uno, menos a no comer."
A todos nos gustan los pesos a cuatro reales.
"A todos presto la silla, pero a ninguno el caballo."
"A tu amigo monda el higo, a tu enemigo el durazno."
"A tu hija la más lista, nunca la pierdas de vista."
"A tu palo, gavilán, y a tu matorral, conejo."
